bookID,isbn13,title,authors,average_rating,language_code,  num_pages,ratings_count,text_reviews_count,Date
1,9780439785969,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,eng,652,2095690,27591,2006-09-16
2,9780439358071,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,eng,870,2153167,29221,2004-09-01
4,9780439554893,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,eng,352,6333,244,2003-11-01
5,9780439655484,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,eng,435,2339585,36325,2004-05-01
8,9780439682589,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,eng,2690,41428,164,2004-09-13
9,9780976540601,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,en-US,152,19,1,2005-04-26
10,9780439827607,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,eng,3342,28242,808,2005-09-12
12,9780517226957,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815,3628,254,2005-11-01
13,9780345453747,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815,249558,4080,2002-04-30
14,9781400052929,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,eng,215,4930,460,2004-08-03
16,9780739322208,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,eng,6,1266,253,2005-03-23
18,9780517149256,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815,2877,195,1996-01-17
21,9780767908184,A Short History of Nearly Everything,Bill Bryson,4.21,eng,544,248558,9396,2004-09-14
22,9780767915069,Bill Bryson's African Diary,Bill Bryson,3.44,eng,55,7270,499,2002-12-03
23,9780767910439,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,eng,256,2088,131,2004-09-14
24,9780767903868,In a Sunburned Country,Bill Bryson,4.07,eng,335,72451,4245,2001-05-15
25,9780767903820,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,eng,304,49240,2211,2000-06-28
26,9780060920081,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,eng,299,45712,2257,1990-08-28
27,9780380713806,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,eng,254,48701,2238,1993-03-28
28,9780380727506,Notes from a Small Island,Bill Bryson,3.91,eng,324,80609,3301,1997-05-28
29,9780380715435,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,eng,270,28489,2085,1991-09-28
30,9780345538376,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,eng,1728,101233,1550,2012-09-25
31,9780618517657,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,eng,1184,1710,91,2004-10-21
34,9780618346257,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,eng,398,2128944,13670,2003-09-05
35,9780618260584,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,en-US,1216,1618,140,2002-10-01
36,9780618391004,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,eng,218,19822,46,2003-11-05
37,9780618510825,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,eng,224,359,6,2004-11-15
45,9780976694007,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,eng,558,1430,59,2005-07-28
50,9780689840920,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,eng,208,270244,12017,2000-04-01
51,9781557344496,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,eng,48,36,2,1994-08-28
53,9780385326506,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,eng,144,2067,334,2001-01-23
54,9781575606248,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,eng,56,6,0,2003-06-10
55,9781595580276,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,en-US,228,99,16,2005-11-01
57,9781595962805,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,eng,304,167,4,2005-11-01
58,9780670059676,Changeling (Changeling  #1),Delia Sherman,3.6,eng,256,978,111,2006-08-17
59,9780141312620,The Changeling Sea,Patricia A. McKillip,4.06,eng,137,4454,302,2003-04-14
61,9780595321803,The Changeling,Zilpha Keatley Snyder,4.17,eng,228,1176,96,2004-06-08
63,9781590301944,The Changeling,Kate Horsley,3.55,eng,339,301,43,2005-04-12
66,9780449146972,The Changeling (Daughters of England  #15),Philippa Carr,3.98,eng,369,345,12,1990-08-28
67,9780061159176,The Known World,Edward P. Jones,3.83,eng,388,29686,2626,2006-08-29
68,9780060762735,The Known World,Edward P. Jones/Kevin R. Free,3.83,en-US,14,55,12,2004-06-15
69,9780060749910,The Known World,Edward P. Jones,3.83,eng,576,22,3,2004-06-15
71,9780273704744,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,eng,334,1456,82,2006-05-15
72,9781932386103,Artesia: Adventures in the Known World,Mark Smylie,4.13,eng,352,52,4,2005-12-14
74,9780374517199,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,eng,416,562,37,1982-06-01
75,9780374280390,Uncommon Carriers,John McPhee,3.95,en-US,248,1630,203,2006-05-16
76,9780374519742,Heirs of General Practice,John McPhee,4.17,eng,128,268,22,1986-04-01
77,9780374522599,The Control of Nature,John McPhee,4.24,en-US,288,3498,305,1990-09-01
78,9780374518738,Annals of the Former World,John McPhee,4.34,eng,720,3115,228,1999-01-06
79,9780374522872,Coming Into the Country,John McPhee,4.22,eng,448,5704,261,1991-04-01
80,9780374519322,La Place de la Concorde Suisse,John McPhee,3.92,fre,160,698,52,1994-04-01
81,9780374516000,Giving Good Weight,John McPhee,4.23,eng,288,542,36,1994-04-01
83,9780374520656,Rising from the Plains,John McPhee,4.23,eng,208,1341,98,1987-11-01
85,9780822205104,The Heidi Chronicles,Wendy Wasserstein,3.75,eng,81,1423,70,2002-03-01
86,9780679734994,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,eng,249,2766,64,1991-07-02
89,9781596670235,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,eng,138,31,1,2006-03-29
90,9781581807745,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,en-US,128,62,4,2006-03-14
91,9780800793616,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,eng,192,860,53,2003-09-01
92,9780871202864,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,en-US,108,77,2,1997-01-28
93,9780753454947,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,eng,352,153317,2257,2002-11-15
94,9780871209993,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,eng,192,55,5,2004-11-15
96,9781852402877,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,eng,192,34,6,2003-04-28
98,9780761129585,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,eng,832,11797,659,2003-10-16
99,9780972016414,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,eng,123,34,8,2004-05-10
100,9781581805635,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,en-US,128,78,4,2004-08-19
103,9780441294671,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,eng,423,2785,166,1987-06-15
105,9780441102679,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,eng,436,38778,568,1987-07-01
106,9780441172696,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,eng,331,97494,2359,1987-07-15
107,9780765306470,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,en-US,592,784,21,2004-07-01
109,9780399128981,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,eng,480,272,20,1984-04-16
110,9780765353702,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,eng,426,4789,83,2006-08-29
117,9780441328000,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,eng,471,45388,644,1987-08-15
119,9780618212903,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,eng,192,26153,102,2002-06-12
122,9780345410054,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,eng,544,69167,4551,1996-09-29
123,9780385732543,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,eng,291,45,13,2005-09-13
129,9780785260059,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,en-US,256,16,1,2004-11-01
130,9780471780939,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,eng,205,174,16,2006-05-19
131,9780325001531,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,eng,240,10,0,2000-02-07
132,9780060762872,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,eng,336,76,9,2005-05-03
133,9780470045299,eBay for Dummies,Marsha Collier,3.5,eng,386,111,9,2006-10-30
135,9780072262780,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,eng,260,24,0,2006-01-24
137,9780764569241,Starting an eBay Business for Dummies,Marsha Collier,3.55,eng,384,55,4,2004-09-17
138,9780471933823,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,eng,260,9,0,2006-06-06
139,9780764559914,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,en-US,391,22,1,2004-05-31
140,9780764584381,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,en-US,864,17,3,2005-04-25
141,9780596523695,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,eng,873,166,4,2006-07-29
142,9780806523491,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,eng,240,50,5,2005-05-03
144,9780806525365,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,eng,206,13,2,2005-05-03
